Cond_1	Cond_2	Cond_3	Cond_4	Cond_5	Cond_6	Cond_7	Cond_8	Cond_9	Cond_10	Cond_11	Cond_12	Cond_13	Cond_14	Cond_15	Cond_16	Cond_17	Cond_18	Cond_19	Cond_20	Cond_21	Cond_22	Cond_23	Cond_24	Cond_25	Cond_26	Cond_27	Cond_28	Cond_29	Cond_30	Cond_31	Cond_32	Cond_33	Cond_34	Cond_35	Cond_36	Cond_37	Cond_38	Cond_39	Cond_40	Cond_41	Cond_42	Cond_43	Cond_44	Cond_45	Cond_46	Cond_47	Cond_48	Cond_49	Cond_50	Cond_51	Cond_52	Cond_53	Cond_54	Cond_55	Cond_56	Cond_57	Cond_58	Cond_59	Cond_60	Cond_61	Cond_62	Cond_63	Cond_64	Cond_65	Cond_66	Cond_67	Cond_68	Cond_69	Cond_70	Cond_71	Cond_72	Cond_73	Cond_74	Cond_75	Cond_76	Cond_77	Cond_78	Cond_79	Cond_80	Cond_81	Cond_82	Cond_83	Cond_84	Cond_85	Cond_86	Cond_87	Cond_88	Cond_89	Cond_90	Cond_91	Cond_92	Cond_93	Cond_94	Cond_95	Cond_96	Cond_97	Cond_98	Cond_99	Cond_100	Cond_101	Cond_102	Cond_103	Cond_104	Cond_105	Cond_106	Cond_107	Cond_108	Cond_109	Cond_110	Cond_111	Cond_112	Cond_113	Cond_114	Cond_115	Cond_116	Cond_117	Cond_118	Cond_119	Cond_120	Cond_121	Cond_122	Cond_123	Cond_124	Cond_125	Cond_126	Cond_127	Cond_128	Cond_129	Cond_130	Cond_131	Cond_132	Cond_133	Cond_134	Cond_135	Cond_136	Cond_137	Cond_138	Cond_139	Cond_140	Cond_141	Cond_142	Cond_143	Cond_144	Cond_145	Cond_146	Cond_147	Cond_148	Cond_149	Cond_150	Cond_151	Cond_152	Cond_153	Cond_154	Cond_155	Cond_156	Cond_157	Cond_158	Cond_159	Cond_160	Cond_161	Cond_162	Cond_163	Cond_164	Cond_165	Cond_166	Cond_167	Cond_168	Cond_169	Cond_170	Cond_171	Cond_172	Cond_173	Cond_174	Cond_175	Cond_176	Cond_177	Cond_178	Cond_179	Cond_180	Cond_181	Cond_182	Cond_183	Cond_184	Cond_185	Cond_186	Cond_187	Cond_188	Cond_189	Cond_190	Cond_191	Cond_192	Cond_193	Cond_194	Cond_195	Cond_196	Cond_197	Cond_198	Cond_199	Cond_200	Cond_201	Cond_202	Cond_203	Cond_204	Cond_205	Cond_206	Cond_207	Cond_208	Cond_209	Cond_210	Cond_211
Gene_1	0.191458949412408	-0.0944754787730898	0.457663559575455	-0.178176746582938	2.79314994363876	-0.0816470081475453	-0.0639398210573474	2.18450325417652	0.0290900950740814	2.37534527966513	0.124744287666091	0.0171555643641679	-0.0214841428248502	-0.0708108162999383	0.260767288665217	-0.0766763264897104	3.04796679899332	0.0689354940937395	-0.10713409200545	-0.109855027186409	-0.144373445407564	-0.0200427253477608	-0.0386550567364519	0.361494866196957	-0.145757333363983	-0.0731056295896779	0.120185332398832	-0.0239977464620504	2.25864623462294	-0.135410608744549	0.0326734294209451	2.27150956174131	-0.0795500194615401	-0.252888891156578	0.0881992804665037	0	2.68762706853693	-0.0217512383321557	-0.0762210040611444	0.143009421403562	-0.0863254010779346	-0.057640086847546	0.141543484738268	0.000496269264173881	2.8638247985587	0.013198473785824	-0.0534506946801686	-0.0781040597157781	0.385377352116128	0.120104171196064	0.0625311721441777	2.55197968881983	2.86089310145683	-0.0132134043332406	0.137114324420982	0.0026048407863517	2.15569108796695	-0.0965824468532499	-0.0826882011729018	-0.095246146228705	-0.0860019071345403	-0.0622455182883087	0.0737317675041981	-0.0720141459817305	-0.096314579940578	-0.00312751918379245	-0.16014900667574	-0.0748371876373121	-0.150020941663033	0.447144526799975	-0.18041296499696	2.45588628148017	0.104358654349447	0.00366158448533126	0.886330406314306	0.0164261799714324	2.78985816625103	-0.0388213644283451	2.85571215779999	-0.0828749902073894	0.0247679304446131	-0.0867285813012562	0.396810881472265	0.0118538848933703	-0.0854830512298536	-0.0633332371164514	-0.0306263151822007	-0.0631251941637009	0.132148964699993	3.08159609329591	-0.0992395103893051	-0.0457981586907133	-0.0210311654381907	-0.0256861172356593	-0.0440136021377639	0.089136330604132	-0.073384824643456	-0.0736352660667365	-0.139139929523784	-0.152041850302779	-0.180354331594232	0.015908096365133	0.084081053782981	-0.112771839137712	-0.145027380319116	0.023000608484732	-0.126765309265072	-0.142756076403538	-0.0465091675608853	0.0130449490578086	0.143917349062297	0.0163644893994235	2.34262004793902	3.19085501697476	0.83916329006698	0.0191998485219589	2.8253152484737	0.0410176262087703	0.103164142664492	0.0850810841663127	0.200171573836809	0.179054836216496	0.0782210240756048	2.8424600304632	0.165758840244504	-0.0918061574066189	-0.153545986992345	-0.0936407926134955	0.189978555526695	-0.055694306475933	2.7266573535671	-0.129112629412363	-0.0345230422468393	2.87104056919891	-0.0916235811373449	-0.192823613259175	-0.00988531772012831	-0.116908232687401	-0.0426795945285795	-0.073318450834217	-0.0520622986514733	-0.252888891156578	0.0235712149361899	0.0295323132370115	-0.126107310626781	0.0767497850228184	-0.123763258554421	0.29575836664535	-0.0940397586912149	-0.126788374258472	2.82348798366521	0.0469133234142799	-0.0590707557465096	-0.0302057688626692	0.124247875018408	-0.00059085651424956	-0.124208553670008	-0.00935352464535538	0.0660900965457531	0.0634647152050775	0.0457331905207174	-0.00520476259056037	0.0836865931190803	2.79973352797256	0.0249756537767854	-0.0773981961322222	2.64523506189717	-0.054598610644722	0.0962584018647325	-0.00701950790286325	-0.0113686637267323	-0.109803866291719	-0.127727318187775	2.060566938699	-0.0435329948929748	0.0678667312531796	2.57063668146746	-0.12901130728732	-0.00335413771555618	2.73253349634379	-0.124189281034704	-0.0172126971233532	0.0631574226402198	0.0113186597626932	0.07315507781417	-0.0375278436021874	-0.120671379409128	-0.00988183627624707	-0.0246994226336656	-0.122282577967857	0.385430343950057	2.53523103922236	0.00215084569481952	2.60309770950665	0.0351879328972798	2.75353814315531	0.353412821972613	-0.0375774002738279	0.000998415291609776	-0.043766648093689	-0.073297979677213	2.80086600851825	-0.0692613506867925	2.76168096007545	2.71861715278156	2.64190697924256	0.0583286016114709	0.0660092617467605	1.90553440381785	-0.010121465769174	-0.0971913686111743
Gene_2	0.210839390766364	-0.0535351218801427	0.48010920691615	-0.138974891029832	2.7109723526466	-0.0531852019264356	-0.051482743692106	2.15823075770903	0.0460747385238438	2.39867020762634	0.146384215095794	0.0419672289747315	-0.0350142037105606	-0.0586881355064761	0.309728342813747	-0.098375216892135	3.09102436668185	0.0813538158647052	-0.0967791869770508	-0.0996325442256174	-0.13583089967695	-0.037485602086537	-0.0460135062478328	0.321928594223782	-0.170077496004538	-0.0482975146341855	0.129920912722341	-0.0572832332605906	2.15325427424981	-0.126431861015867	0.0400424726178125	2.25793093303004	-0.0507862850343996	-0.24962755895652	0.263485228401675	-0.0403792850605354	2.61058815299228	0.0116364791093661	-0.0802941386636932	0.259913166828717	-0.0483773145218015	-0.0719058462008955	0.147538508003812	0.00733602918160825	2.89431268619903	0.0178975550983473	-0.0537603587454387	-0.06633632540522	0.406073182366381	0.123238645999578	0.0630192499290329	2.652466706746	2.82074250547762	-0.00719726719594441	0.149159175471713	-0.00925090626131724	2.14140456013386	-0.0607219201305524	-0.0711435671751356	-0.109673558753694	-0.0608042942190225	-0.049705982848579	0.0531475443777031	-0.0311694131304126	-0.0699710463311199	0.00365411111407959	-0.152374223608279	-0.0629104616836353	-0.141753247437956	0.456309233278248	-0.142278412435178	2.4887152718758	0.0696517979540572	0	0.749226811508632	0.0187542593464463	2.70890173550362	-0.0393561846133392	2.77624374758473	-0.0713394468304973	0.00091643168053207	-0.0616247185757716	0.411725880453391	-0.0182441409535649	-0.105968688146443	-0.108463467223645	-0.0502220164789005	-0.0677079836787966	0.154149261847306	3.08943709171827	-0.0697344451133358	-0.0446475216907141	0.016054183704094	-0.0246902191668156	0.017280736777499	0.0792545305039179	-0.032816680801358	-0.0616500451733082	-0.130342679822623	-0.100430396181078	-0.118211462073205	-0.0125889718251617	0.0855390305445676	-0.0605220306384195	-0.136516660195254	0.0588914533741765	-0.0793090625015438	-0.134134816799437	0.0141225751383868	-0.0434055101836068	0.0754288249008637	-0.0177719519484609	2.28809593851507	3.16944699841772	0.732524826413469	0.0357031549274776	2.90365586633453	0.0459523974835427	0.0928634499944478	0.0753228162007021	0.149976490979705	0.141957983238189	0.0362873754129281	2.8563481514816	0.163039386227874	-0.129809403067529	-0.102645214008945	-0.0826291977025752	0.145361655942233	-0.0522943793689831	2.71132313907197	-0.0999299680165247	-0.0321411428377425	2.88898449490375	-0.092919831620807	-0.160625659034206	-0.0471096085926535	-0.0811996742294163	-0.049852905719318	-0.0485353330011862	-0.0390271677971048	-0.24962755895652	0.0307880814596027	0.0465384784943784	-0.0784249515247627	0.0960539231554077	-0.0934769424094835	0.3297644654347	-0.0698803713244691	-0.117390000907675	2.79119342035457	0.0647653850828844	-0.0273711975595037	0.0142863805149587	0.0346630399706936	-0.00167732969707844	-0.084682708608553	-0.0103185078605915	0.0569245365740496	0.0543829025611142	0.0355939806132705	-0.011950530770076	0.0266594192317082	2.77476535635065	0.00700131398504457	-0.0899588570988052	2.75170043863751	-0.0416869166441949	0.0468994766888479	-0.00467693234719236	-0.034728770709364	-0.0995788934401348	-0.118374641220102	1.97425485916931	-0.0300827611552822	0.0717729796868433	2.66289762991002	-0.11972111930966	0.0120515146512825	2.82885090381496	-0.114664415402502	-0.00248151105901462	0.042606090106759	0.0393335045294551	0.0922842692724157	-0.0085670094717384	-0.136260041352852	0.0547961209887089	-0.0103325994099504	-0.0916911377837345	0.386017541087005	2.64464759420388	0.0576605363035381	2.71084750997101	0.0524693450088372	2.85285487306279	0.360699293238942	-0.0238373205453821	-0.0107711731714076	-0.0530732667372047	-0.0274675540758017	2.89978358014306	-0.0419104371200829	2.69879845314873	2.71393490069058	2.62164015864452	-0.00390948188462292	0.0103048705571122	1.92023930725855	-0.0947306277029497	-0.103420700360651
Gene_3	0.00264852557220442	-0.144750873284006	2.30567457273628	-0.13798907717897	3.08332294085115	-0.0265765699846735	0.38621789894639	-0.0345053702124794	-0.0571690545289987	-0.137240296975957	2.51732109434287	-0.0953928970696142	-0.0981843591135852	-0.156963945595067	0.334884413241971	0.0266186691102751	0.242509828325747	0.0610923966794501	0.382116890385294	0.244128701151368	3.09265889835289	0.104258831574137	-0.104520381628106	4.43900418144593	-0.0303571544274445	-0.00467024277483678	-0.055716426789235	-0.117408788059639	-0.150080685063205	-0.0971523543460559	0.223501137009902	0.17794059610497	0.27767180967107	-0.118486746600347	2.23883874726157	-0.00994590818996631	-0.0448829606817341	-0.281690392456988	-0.281690392456988	0.526154912395345	-0.150142115854143	-0.186921460425307	0.0360400760247851	-0.0127681623629819	-0.0730274782820397	0.0334414830006976	-0.144910034726212	-0.153786757516257	2.89506449692854	-0.0172923653585061	3.19123588438127	0.098616958001462	-0.105813861860417	0.0210874486570959	0.664964323963676	1.40267765731084	-0.121951071909366	-0.0519874498558291	-0.281690392456988	-0.0999363120141128	2.44912960862932	0.867467728736299	0.233260275158836	-0.199003810598302	0.0590041387641364	-0.0315668476688817	-0.192290189631265	0.173783702364318	1.38896371613399	0.382772455671612	0.0556372202386844	-0.100317207930284	0.161553754565885	0	-0.155585925315901	-0.115374222613899	-0.122148106163633	-0.134718250952981	-0.141729099299048	-0.186615948474525	-0.0399030695799032	-0.121149552058285	1.15356000296318	-0.281690392456988	-0.119938165470068	2.70956152543723	0.0210031465309733	-0.0981618860042346	-0.0494983757085181	3.8664261846241	-0.00603276504254485	2.05030599986669	-0.0569829416706681	-0.1015711785954	-0.0559272941162119	0.580462580294725	-0.139820975789511	-0.0375696091132354	-0.0378797406266912	-0.0879324928211262	0.0692693551525969	1.67417395156216	2.5694985633432	-0.0361046903240776	0.378848644491491	-0.0545280057073536	2.35520538447099	0.0157237355891436	0.0317637871656666	3.03253274264199	-0.0954663780313901	-0.129810421240701	-0.0986788809540904	1.48448984703766	0.125596665394724	-0.121382297840841	0.113153002856783	-0.281690392456988	-0.164076615072684	0.369159394291164	-0.281690392456988	-0.281690392456988	-0.172735217387692	1.47657091616724	-0.16054910530491	-0.0623160666854214	0.137498735161932	-0.127869119845465	-0.0278852265856116	-0.0997111939408131	2.82728089559256	-0.184128129017479	0.0919907668228736	-0.110135169040597	-0.137399805724713	2.35853302714521	0.20008768690916	-0.164253972512717	0.00458810335165499	-0.120885184256801	0.250767941049672	2.61795237655274	0.160700778828596	0.0529553701325608	0.42662324419774	0.583830654679513	-0.137915487814731	-0.105820015915841	0.0461701167504976	0.776168927945472	-0.0469659304353893	0.0620631754753651	-0.0764974359838154	0.602800125682395	-0.0457339760959584	0.182894833923351	1.27485943154519	0.00654375420240028	0.0758062502712511	1.72724689113897	0.0171458226622032	0.169752736114244	-0.100044755127265	2.8955974445058	-0.174925825937501	-0.161527128425871	-0.162262819875384	-0.0472768314264717	-0.0565273062900596	-0.0432173673926851	-0.0315740126208089	-0.143561813115109	-0.0415271049869902	0.155796119319298	0.202468485703823	0.714115447109075	4.91154446756717	0.369547888599644	0.657712505294107	0.331418191808408	0.407497579518096	0.313350454390499	0.449301320139581	0.41375229840111	0.614369483620303	0.535184986222193	2.84401898378533	-0.0593335337867064	-0.281690392456988	-0.0765830789318496	0.00555601212614957	-0.104455971241718	-0.164295408049349	0.145177042765397	0.0517237471553328	-0.112220555032936	4.30020775647841	0.0497698848519526	2.41044572051421	0.670830181928205	-0.0916547835206353	1.59189629781131	-0.0316128891400909	0.501406597294671	0.400388067239976	-0.0476885790988144	-0.0782794263641156	0.103328200268296	2.40074605516404	-0.107253132488425	-0.11706269974008
Gene_4	-0.107339305100266	-0.0724246799197638	2.27825876407576	-0.210568217236008	3.1489023431959	0.00484148739270167	0	-0.31522855140175	-0.135872041267935	-0.31522855140175	2.59547221000296	-0.179421468922654	-0.20593134007451	-0.134154840402475	0.625747120438712	-0.0683815895392235	0.0386909043159418	0.00107870710642632	0.0568222310469144	0.0677494993200138	2.94173857693785	0.149322288012183	-0.132988294740404	4.81913537689183	-0.0567026666216797	0.0257668551990338	0.0714751060425184	-0.146245541184368	-0.149612896348356	-0.103236567870855	-0.0592820631029116	-0.025228228176424	0.355817580395704	-0.121605844325184	2.11379533100535	0.011393928107508	-0.115863567033377	-0.220651520225333	-0.171627858524038	0.456731001135455	-0.101993354488354	-0.146778083702299	0.397980900914121	0.0158782962574587	-0.0530863582065835	0.086290179127832	-0.116735276481222	-0.0883087600273278	1.76407076334122	-0.147742934543165	3.13027320954967	0.18751595439667	-0.187049314710429	0.12025560273333	0.669692236032743	0.894021075469561	-0.180921445003137	-0.0962670320075234	-0.17693389803159	-0.196683140687241	2.33649741380662	0.239535935407249	0.246294047632907	-0.195052258094789	-0.118817857130061	0.511845295077573	-0.31522855140175	0.0748232983325582	0.514762626289071	0.414478060093472	0.23866195190912	-0.20720892064066	0.240347522753936	0.233242219276455	-0.31522855140175	-0.31522855140175	-0.220271630432965	0.0191452199969073	-0.171261850330696	-0.146237554645874	-0.213050624028447	-0.31522855140175	0.390419133777407	-0.221036919720723	-0.218950409201465	2.22933455598554	-0.181172053261406	-0.126447831887502	-0.0539560331984348	3.83956420554483	0.132813525812101	0.699070850350129	-0.0239839526776583	-0.207959933114066	-0.0226260880080255	0.620917530287528	0.362551011002503	-0.169504797846838	0.0192246344402953	-0.215212178953736	-0.139678272178295	0.915816814055928	2.30750831597118	0.325500053029852	1.27672978222892	-0.210169933714763	1.54655333302258	-0.0723443417744996	-0.212093687427646	3.18525445109966	-0.094370061976163	-0.0949450640271107	-0.206227582314339	1.29529828937211	0.103714234741834	-0.19843508130472	-0.0500095442191892	-0.14423070946224	-0.144443087218998	0.170492359788963	-0.197585398816788	-0.191371590436426	-0.31522855140175	0.986086887724005	-0.0674140419053166	-0.31522855140175	0.516198888811449	-0.092146222499381	-0.0416423432706071	-0.31522855140175	2.98600910492183	-0.214874254156431	0.249445551688072	-0.170962523860854	-0.166808661168163	0.13473565637976	0.218574239988674	-0.0605573029864618	-0.0341948283179634	-0.0155449678401967	0.391994464528874	2.93891846966897	0.313752475118536	0.00981821091325647	0.596953574959793	-0.0906571703556677	0.192751164024326	0.10776294591505	0.247778606511874	0.801978796527291	-0.31522855140175	0.405479460358597	-0.0719492940045096	0.317472542666145	-0.0190217494114	0.577425854877537	1.63607181344618	-0.0440997840468473	0.368704526501205	1.32864625413463	0.157830564964396	0.468512370537381	-0.01223741364679	2.85072811807522	-0.205408599854527	-0.31522855140175	-0.31522855140175	0.256357689518074	-0.0483684427084839	-0.00628869022147139	-0.31522855140175	-0.31522855140175	0.0519882164188267	-0.219147245842122	0.564585930248843	1.17070074944214	5.61175384291551	0.72277721932263	1.13103402449765	0.824611094347999	0.632032740250529	0.695560994224879	0.735713814772941	0.74025220496801	1.04350300469192	0.861882010366902	2.19816480877459	-0.0865082910997903	0.00443013548243591	0.15769998243951	-0.0807136370728413	-0.0287011690839435	-0.31522855140175	0.170241375186037	-0.0480659598266564	-0.0411158219093126	4.6134030811682	0.306836298989775	2.85946969888989	0.740145018111167	-0.155376067390116	1.57852262627572	-0.104634078824187	0.828252261102557	-0.102850940219808	-0.118236613856802	-0.124056736534057	0.664982234127547	2.67667192112679	-0.135799251379431	-0.0402882438517168
